amfi_code,VaR_95,CVaR_95
100016,-1.4363639988111143,-1.806020763217176
100025,-0.3793246199522682,-0.4993763020560281
100033,-1.9033535861558826,-2.3455762770703794
101206,-1.328166198628149,-1.7439425687129195
101207,-2.6021248221061066,-3.245905898704435
101208,-0.02686575130400159,-0.04220820655857685
102885,-1.261262882069356,-1.549040525311211
102886,-1.922028344426503,-2.325086026922121
102887,-1.5231617279157872,-1.9411182679158694
118632,-1.3954045870018117,-1.7618579320162155
118633,-1.3442525143024242,-1.6630178254004826
118634,-2.543811145896311,-3.2304072697818533
118635,-1.2553697284754661,-1.617696049480912
118636,-0.38041460689443474,-0.49189184204782943
119092,-1.3749592076363815,-1.7327870956436053
119093,-1.4225516634796054,-1.7486709749013059
119094,-1.8480276243938307,-2.426005947837057
119095,-2.618842440959035,-3.166729360598028
119120,-0.3938283121850805,-0.5013693153022244
119551,-1.284622862884257,-1.639680693408763
119552,-1.3500970479935082,-1.7335699664199813
119598,-2.45070519056771,-3.059526410880242
119599,-2.685943514961382,-3.238412245049217
120503,-1.355001716250348,-1.745055416552432
120504,-1.3728193295939772,-1.7494143685606607
120505,-1.889178619869274,-2.434207039551981
120506,-1.4388462899080912,-1.940489860249691
120507,-0.022157351389344715,-0.037258039979649646
120841,-1.3141782186804063,-1.636273661834337
120842,-1.8218530452556079,-2.2724975262680878
120843,-1.4507941385630474,-1.8381077688017156
120844,-0.028479272823556105,-0.0410995919332325
125497,-1.459176907114046,-1.830988532805791
125498,-1.8365320169601018,-2.309379305316794
148567,-1.355977641751056,-1.7622879905822204
148568,-1.4711531333512795,-1.876476958423089
148569,-1.7118192655621134,-2.1328305810328105
149322,-1.447385198379274,-1.8401747612732604
149323,-1.7882076201903474,-2.2606642100420333
149324,-2.3483069386777156,-3.103625202188441
